hive.metastore.client.cache.v2.enabled	 true	
hive.metastore.client.cache.v2.maxSize	1Gb	
hive.metastore.client.cache.v2.recordStats	 false	
hive.exec.script.wrapper	 null	
hive.exec.plan	 	
hive.exec.stagingdir	 .hive-staging	
hive.exec.scratchdir	 /tmp/hive	
hive.repl.rootdir	/user/${system:user.name}/repl/	
hive.repl.cm.enabled	 false	
hive.repl.cmrootdir	/user/${system:user.name}/cmroot/	
hive.repl.cm.retain	10d	
hive.repl.cm.encryptionzone.rootdir	 .cmroot	
hive.repl.cm.nonencryptionzone.rootdir		
hive.repl.cm.interval	3600s	
hive.repl.ha.datapath.replace.remote.nameservice	 false	
hive.repl.ha.datapath.replace.remote.nameservice.name	 null	
hive.repl.replica.functions.root.dir	/user/${system:user.name}/repl/functions/	
hive.repl.approx.max.load.tasks	10000	
hive.repl.partitions.dump.parallelism	100	
hive.repl.table.dump.parallelism	15	
hive.repl.run.data.copy.tasks.on.target	 true	
hive.repl.dump.metadata.only	 false	
hive.repl.retain.prev.dump.dir	 false	
hive.repl.retain.prev.dump.dir.count	3	
hive.repl.retain.custom.db.locations.on.target	 true	
hive.repl.include.materialized.views	 false	
hive.repl.dump.skip.immutable.data.copy	 false	
hive.repl.dump.metadata.only.for.external.table	TRUE	
hive.repl.bootstrap.acid.tables	 false	
hive.repl.bootstrap.dump.open.txn.timeout	1h	
hive.repl.bootstrap.dump.abort.write.txn.after.timeout	TRUE	
hive.repl.add.raw.reserved.namespace	 false	
hive.repl.include.external.tables	 true	
hive.repl.bootstrap.external.tables	 false	
hive.repl.replica.external.table.base.dir	 null	
hive.repl.external.warehouse.single.copy.task	FALSE	
hive.repl.external.warehouse.single.copy.task.paths		
hive.repl.include.authorization.metadata	 false	
hive.repl.authorization.provider.service	 ranger	
hive.repl.handle.ranger.deny.policy	FALSE	
hive.repl.failover.start	FALSE	
hive.repl.ranger.target.deny.policy	TRUE	
hive.repl.ranger.client.read.timeout	300s	
hive.repl.include.atlas.metadata	 false	
hive.repl.atlas.endpoint	 null	
hive.repl.atlas.replicatedto	 null	
hive.repl.atlas.client.read.timeout	7200s	
hive.repl.external.client.connect.timeout	10s	
hive.repl.source.cluster.name	 null	
hive.repl.target.cluster.name	 null	
hive.repl.retry.initial.delay	60s	
hive.repl.retry.backoff.coefficient	1.2f	
hive.repl.retry.jitter	30s	
hive.repl.retry.max.delay.between.retries	60m	
hive.repl.retry.total.duration	24h	
hive.repl.copy.file.list.iterator.retry	 true	
hive.repl.load.partitions.batch.size	10000	
hive.repl.load.partitions.with.data.copy.batch.size	1000	
hive.repl.parallel.copy.tasks	100	
hive.repl.externaltable.snapshotdiff.copy	FALSE	
hive.repl.externaltable.snapshot.overwrite.target	TRUE	
hive.repl.stats.events.count	5	
hive.exec.local.scratchdir	"${system:java.io.tmpdir} + File.separator + ""${system:user.name}"""	
hive.downloaded.resources.dir	"${system:java.io.tmpdir} + File.separator + ""${hive.session.id}_resources"""	
hive.scratch.dir.permission	700	
hive.exec.submitviachild	 false	
hive.exec.submit.local.task.via.child	 true	
hive.exec.script.maxerrsize	100000	
hive.exec.script.allow.partial.consumption	 false	
stream.stderr.reporter.prefix	 reporter:	
stream.stderr.reporter.enabled	 true	
hive.exec.compress.output	 false	
hive.exec.compress.intermediate	 false	
hive.intermediate.compression.codec	 	
hive.intermediate.compression.type	 	
hive.exec.reducers.bytes.per.reducer	(long) (256 * 1000 * 1000)	
hive.exec.reducers.max	1009	
hive.exec.pre.hooks	 	
hive.exec.post.hooks	 	
hive.exec.failure.hooks	 	
hive.exec.query.redactor.hooks	 	
hive.client.stats.publishers	 	
hive.basic.stats.max.threads.factor	2	
hive.exec.parallel	 false	
hive.exec.parallel.thread.number	8	
hive.mapred.reduce.tasks.speculative.execution	 false	
hive.exec.counters.pull.interval	1000L	
hive.exec.dynamic.partition	 true	
hive.exec.dynamic.partition.mode	 nonstrict	
hive.exec.max.dynamic.partitions	1000	
hive.exec.max.dynamic.partitions.pernode	100	
hive.exec.dynamic.partition.type.conversion	 true	
hive.exec.max.created.files	100000L	
hive.exec.default.partition.name	 __HIVE_DEFAULT_PARTITION__	
hive.lockmgr.zookeeper.default.partition.name	 __HIVE_DEFAULT_ZOOKEEPER_PARTITION__	
hive.exec.show.job.failure.debug.info	 true	
hive.exec.job.debug.capture.stacktraces	 true	
hive.exec.job.debug.timeout	30000	
hive.exec.tasklog.debug.timeout	20000	
hive.output.file.extension	 null	
hive.in.test	 false	
hive.in.iceberg.test	 false	
hive.in.ssl.test	 false	
hive.in.repl.test	 false	
hive.in.ide.test	 false	
hive.testing.short.logs	 false	
hive.testing.remove.logs	 true	
hive.test.load.hostnames	 	
hive.test.load.interval	10ms	
hive.test.load.utilization	0.2f	
hive.in.tez.test	 false	
hive.mapjoin.testing.no.hash.table.load	 false	
