FORCE_WRAPPER	SKIP	SKIP
acceptRanges	false	SKIP
cacheControl	max-age=3600	public
dirAllowed	false	SKIP
dispatchPath	SKIP	SKIP
encodingHeaderCacheSize	1	-1
etags	true	SKIP
gzip	false	SKIP
maxCacheSize	128000000	512000000
maxCachedFileSize	100000000	400000000
maxCachedFiles	1024	4096
nonContextServlets	SKIP	SKIP
otherGzipFileExtensions	SKIP	SKIP
pathInfoOnly	true	SKIP
precompressed	SKIP	SKIP
redirectWelcome	true	SKIP
relativeResourceBase	SKIP	SKIP
resourceBase	SKIP	SKIP
resourceCache	SKIP	SKIP
restrictToLocalhost	SKIP	SKIP
stylesheet	SKIP	SKIP
useFileMappedBuffer	false	SKIP
welcomeServlets	true	SKIP
