parameter	test_case	value	test_result	testcase_time
en.billboard.menu.aria_label	should have no a11y violations when rendering users	Toggle dropdown menu	p	unknown
en.billboard.menu.aria_label	should render the correct users	Toggle dropdown menu	p	unknown
en.billboard.menu.aria_label	should follow all suggested users by default	Toggle dropdown menu	p	unknown
en.billboard.menu.aria_label	should properly pluralize with small follower count	Toggle dropdown menu	p	unknown
en.billboard.menu.aria_label	should update the navigation button text and follow status when you follow/unfollow users	Toggle dropdown menu	p	unknown
en.billboard.menu.aria_label	should have a functioning de/select all toggle	Toggle dropdown menu	p	unknown
en.billboard.menu.aria_label	should render a stepper	Toggle dropdown menu	p	unknown
en.billboard.menu.aria_label	should be able to continue to the next step	Toggle dropdown menu	p	unknown
en.billboard.menu.aria_label	should render a back button	Toggle dropdown menu	p	unknown
en.billboard.menu.icon	should have no a11y violations when rendering users	Dropdown menu	p	unknown
en.billboard.menu.icon	should render the correct users	Dropdown menu	p	unknown
en.billboard.menu.icon	should follow all suggested users by default	Dropdown menu	p	unknownx
en.billboard.menu.icon	should properly pluralize with small follower count	Dropdown menu	p	unknown
en.billboard.menu.icon	should update the navigation button text and follow status when you follow/unfollow users	Dropdown menu	p	unknown
en.billboard.menu.icon	should have a functioning de/select all toggle	Dropdown menu	p	unknown
en.billboard.menu.icon	should render a stepper	Dropdown menu	p	unknown
en.billboard.menu.icon	should be able to continue to the next step	Dropdown menu	p	unknown
en.billboard.menu.icon	should render a back button	Dropdown menu	p	unknown
en.billboard.menu.manage_preferences	should have no a11y violations when rendering users	Manage preferences	p	unknown
en.billboard.menu.manage_preferences	should render the correct users	Manage preferences	p	unknown
en.billboard.menu.manage_preferences	should follow all suggested users by default	Manage preferences	p	unknown
en.billboard.menu.manage_preferences	should properly pluralize with small follower count	Manage preferences	p	unknown
en.billboard.menu.manage_preferences	should update the navigation button text and follow status when you follow/unfollow users	Manage preferences	p	unknown
en.billboard.menu.manage_preferences	should have a functioning de/select all toggle	Manage preferences	p	unknown
en.billboard.menu.manage_preferences	should render a stepper	Manage preferences	p	unknown
en.billboard.menu.manage_preferences	should be able to continue to the next step	Manage preferences	p	unknown
en.billboard.menu.manage_preferences	should render a back button	Manage preferences	p	unknown
en.billboard.menu.report_billboard	should have no a11y violations when rendering users	Report billboard	p	unknown
en.billboard.menu.report_billboard	should render the correct users	Report billboard	p	unknown
en.billboard.menu.report_billboard	should follow all suggested users by default	Report billboard	p	unknown
en.billboard.menu.report_billboard	should properly pluralize with small follower count	Report billboard	p	unknown
en.billboard.menu.report_billboard	should update the navigation button text and follow status when you follow/unfollow users	Report billboard	p	unknown
en.billboard.menu.report_billboard	should have a functioning de/select all toggle	Report billboard	p	unknown
en.billboard.menu.report_billboard	should render a stepper	Report billboard	p	unknown
en.billboard.menu.report_billboard	should be able to continue to the next step	Report billboard	p	unknown
en.billboard.menu.report_billboard	should render a back button	Report billboard	p	unknown
en.billboard.menu.what_is_a_billboard	should have no a11y violations when rendering users	What's a billboard?	p	unknown
en.billboard.menu.what_is_a_billboard	should render the correct users	What's a billboard?	p	unknown
en.billboard.menu.what_is_a_billboard	should follow all suggested users by default	What's a billboard?	p	unknown
en.billboard.menu.what_is_a_billboard	should properly pluralize with small follower count	What's a billboard?	p	unknown
en.billboard.menu.what_is_a_billboard	should update the navigation button text and follow status when you follow/unfollow users	What's a billboard?	p	unknown
en.billboard.menu.what_is_a_billboard	should have a functioning de/select all toggle	What's a billboard?	p	unknown
en.billboard.menu.what_is_a_billboard	should render a stepper	What's a billboard?	p	unknown
en.billboard.menu.what_is_a_billboard	should be able to continue to the next step	What's a billboard?	p	unknown
en.billboard.menu.what_is_a_billboard	should render a back button	What's a billboard?	p	unknown
en.billboard.promoted	should have no a11y violations when rendering users	Promoted	p	unknown
en.billboard.promoted	should render the correct users	Promoted	p	unknown
en.billboard.promoted	should follow all suggested users by default	Promoted	p	unknown
en.billboard.promoted	should properly pluralize with small follower count	Promoted	p	unknown
en.billboard.promoted	should update the navigation button text and follow status when you follow/unfollow users	Promoted	p	unknown
en.billboard.promoted	should have a functioning de/select all toggle	Promoted	p	unknown
en.billboard.promoted	should render a stepper	Promoted	p	unknown
en.billboard.promoted	should be able to continue to the next step	Promoted	p	unknown
en.billboard.promoted	should render a back button	Promoted	p	unknown
en.contact_prompts.if_any_questions_html	should have no a11y violations when rendering users	<a href="/contact">Contact us</a> if you have any questions.	p	unknown
en.contact_prompts.if_any_questions_html	should render the correct users	<a href="/contact">Contact us</a> if you have any questions.	p	unknown
en.contact_prompts.if_any_questions_html	should follow all suggested users by default	<a href="/contact">Contact us</a> if you have any questions.	p	unknown
en.contact_prompts.if_any_questions_html	should properly pluralize with small follower count	<a href="/contact">Contact us</a> if you have any questions.	p	unknown
en.contact_prompts.if_any_questions_html	should update the navigation button text and follow status when you follow/unfollow users	<a href="/contact">Contact us</a> if you have any questions.	p	unknown
en.contact_prompts.if_any_questions_html	should have a functioning de/select all toggle	<a href="/contact">Contact us</a> if you have any questions.	p	unknown
en.contact_prompts.if_any_questions_html	should render a stepper	<a href="/contact">Contact us</a> if you have any questions.	p	unknown
en.contact_prompts.if_any_questions_html	should be able to continue to the next step	<a href="/contact">Contact us</a> if you have any questions.	p	unknown
en.contact_prompts.if_any_questions_html	should render a back button	<a href="/contact">Contact us</a> if you have any questions.	p	unknown
en.contact_prompts.if_continued_trouble_html	should have no a11y violations when rendering users	<a href="/contact">Contact us</a> if you continue having trouble.	p	unknown
en.contact_prompts.if_continued_trouble_html	should render the correct users	<a href="/contact">Contact us</a> if you continue having trouble.	p	unknown
en.contact_prompts.if_continued_trouble_html	should follow all suggested users by default	<a href="/contact">Contact us</a> if you continue having trouble.	p	unknown
en.contact_prompts.if_continued_trouble_html	should properly pluralize with small follower count	<a href="/contact">Contact us</a> if you continue having trouble.	p	unknown
en.contact_prompts.if_continued_trouble_html	should update the navigation button text and follow status when you follow/unfollow users	<a href="/contact">Contact us</a> if you continue having trouble.	p	unknown
en.contact_prompts.if_continued_trouble_html	should have a functioning de/select all toggle	<a href="/contact">Contact us</a> if you continue having trouble.	p	unknown
en.contact_prompts.if_continued_trouble_html	should render a stepper	<a href="/contact">Contact us</a> if you continue having trouble.	p	unknown
en.contact_prompts.if_continued_trouble_html	should be able to continue to the next step	<a href="/contact">Contact us</a> if you continue having trouble.	p	unknown
en.contact_prompts.if_continued_trouble_html	should render a back button	<a href="/contact">Contact us</a> if you continue having trouble.	p	unknown
en.contact_prompts.if_we_can_help_html	should have no a11y violations when rendering users	<a href="/contact">Contact us</a> if there is anything we can help with.	p	unknown
en.contact_prompts.if_we_can_help_html	should render the correct users	<a href="/contact">Contact us</a> if there is anything we can help with.	p	unknown
en.contact_prompts.if_we_can_help_html	should follow all suggested users by default	<a href="/contact">Contact us</a> if there is anything we can help with.	p	unknown
en.contact_prompts.if_we_can_help_html	should properly pluralize with small follower count	<a href="/contact">Contact us</a> if there is anything we can help with.	p	unknown
en.contact_prompts.if_we_can_help_html	should update the navigation button text and follow status when you follow/unfollow users	<a href="/contact">Contact us</a> if there is anything we can help with.	p	unknown
en.contact_prompts.if_we_can_help_html	should have a functioning de/select all toggle	<a href="/contact">Contact us</a> if there is anything we can help with.	p	unknown
en.contact_prompts.if_we_can_help_html	should render a stepper	<a href="/contact">Contact us</a> if there is anything we can help with.	p	unknown
en.contact_prompts.if_we_can_help_html	should be able to continue to the next step	<a href="/contact">Contact us</a> if there is anything we can help with.	p	unknown
en.contact_prompts.if_we_can_help_html	should render a back button	<a href="/contact">Contact us</a> if there is anything we can help with.	p	unknown
en.core.add_comment	should have no a11y violations when rendering users	Add comment	p	unknown
en.core.add_comment	should render the correct users	Add comment	p	unknown
en.core.add_comment	should follow all suggested users by default	Add comment	p	unknown
